순번,키워드,발표처,제목,웹주소
6,미래창조과학부,아시아경제,미래창조과학부,"=HYPERLINK(""http://www.asiae.co.kr/news/view.htm?idxno=2016072118294478440"")"
6,미래창조과학부,Science Times,태양전지 성능 높인 신소재 개발,"=HYPERLINK(""http://www.sciencetimes.co.kr/?news=%ED%83%9C%EC%96%91%EC%A0%84%EC%A7%80-%EC%84%B1%EB%8A%A5-%EB%86%92%EC%9D%B8-%EC%8B%A0%EC%86%8C%EC%9E%AC-%EA%B0%9C%EB%B0%9C"")"
6,미래창조과학부,경향신문,'통신서비스 지도' 통화·데이터 품질 한눈에,"=HYPERLINK(""http://biz.khan.co.kr/khan_art_view.html?artid=201607212210005&code=930201"")"
6,미래창조과학부,세종인터넷신문,식도암의 진단과 치료를 동시에,"=HYPERLINK(""http://www.thesejong.tv/news/articleView.html?idxno=39221"")"
6,미래창조과학부,연합뉴스,"리퍼트 美대사 ""과학기술 협력으로 한미 동맹 굳건해져""","=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/21/0200000000AKR20160721188200017.HTML"")"
6,미래창조과학부,중앙일보,“배 만들려면 먼저 바다를 보게 하라” 판교 창조경제밸리 찾은 박 대통령,"=HYPERLINK(""http://news.joins.com/article/20343239"")"
6,미래창조과학부,동아일보,이젠 백화점 VR쇼핑 시대,"=HYPERLINK(""http://economy.donga.com/home/3/0108/20160721/79326326/2"")"
6,미래창조과학부,뉴시스,"朴대통령, 여름휴가 구상…개각, 우병우, 사드 해법 등","=HYPERLINK(""http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160722_0014239130&cID=10301&pID=10300"")"
6,미래창조과학부,동아일보,[광화문에서/전승훈]'뽀로로GO'를 만든다고?,"=HYPERLINK(""http://news.donga.com/Main/3/all/20160722/79327458/1"")"
6,미래창조과학부,경향신문,"이통사 유심, 알뜰폰보다 왜 3000원 비쌌나","=HYPERLINK(""http://biz.khan.co.kr/khan_art_view.html?artid=201607211621001&code=930201"")"
6,미래창조과학부,디오데오,세종창조경제혁신센터 출범 1주년…'스마트농업 메카',"=HYPERLINK(""http://www.diodeo.com/news/view/1714128"")"
6,미래창조과학부,머니투데이,청소년 여름방학 과학체험 한마당 '2016주니어닥터' 25일 개막,"=HYPERLINK(""http://www.mt.co.kr/view/mtview.php?type=1&no=2016072209565760750&outlink=1"")"
6,미래창조과학부,한국일보,김주수 의성군수 “전문가를 비전문가로 만든 것이 주효”,"=HYPERLINK(""https://www.hankookilbo.com/v/5c3220defb324b75a746e8a47ab3f953"")"
6,미래창조과학부,한국경제,"미국·일본서 먼저 알아본 K스타트업, 1000만달러 '대박'","=HYPERLINK(""http://www.hankyung.com/news/app/newsview.php?aid=2016072139681"")"
6,미래창조과학부,ZD넷 코리아,"통신3사, 2분기에도 활짝 웃었다 마케팅 자제-IPTV 가입자 상승 등으로 ...","=HYPERLINK(""http://www.zdnet.co.kr/news/news_view.asp?artice_id=20160722113739&lo=z35"")"
